numMois,timestamp,NoRadio_NoCmu,NoRadio_CMU,Radio_NoCmu,Radio_Cmu,covid,nbJoursTravail,montant
1,2017-01-01,462,91,52,2,false,20,31897.02
2,2017-02-01,507,96,92,6,false,20,38872.15
3,2017-03-01,518,110,79,7,false,23,39015.21
4,2017-04-01,427,90,72,10,false,18,32777.03
5,2017-05-01,424,99,66,2,false,20,31367.26
6,2017-06-01,433,75,93,6,false,20,35227.9
7,2017-07-01,420,71,71,5,false,20,31275.13
8,2017-08-01,256,86,21,2,false,15,19908.47
9,2017-09-01,342,91,82,6,false,18,29579.34
10,2017-10-01,480,105,101,6,false,22,39016.07
11,2017-11-01,283,92,55,9,false,16,26519.18
12,2017-12-01,264,66,19,2,false,16,18520.9
13,2018-01-01,339,98,68,11,false,17,31950.52
14,2018-02-01,425,98,101,7,false,20,38749.74
15,2018-03-01,427,110,103,8,false,22,40744.35
16,2018-04-01,413,85,81,10,false,18,36095.44
17,2018-05-01,297,66,43,10,false,13,24819.78
18,2018-06-01,391,72,38,3,false,20,29844.18
19,2018-07-01,247,68,25,4,false,13,19805.96
20,2018-08-01,152,42,0,0,false,8,14029.46
21,2018-09-01,368,98,0,0,false,20,33269.99
22,2018-10-01,352,107,53,0,false,17,29875.96
23,2018-11-01,385,110,46,0,false,20,31465.53
24,2018-12-01,289,67,48,0,false,15,23996.3
25,2019-01-01,390,70,94,2,false,18,35889.77
26,2019-02-01,407,103,56,4,false,18,32875.48
27,2019-03-01,170,54,65,7,false,14,22699.2
28,2019-04-01,456,114,85,21,false,21,41277.63
29,2019-05-01,406,95,68,8,false,19,33873.33
30,2019-06-01,261,52,44,6,false,12,21726.82
31,2019-07-01,455,85,72,7,false,22,36988.5
32,2019-08-01,147,21,9,1,false,7,10050.11
33,2019-09-01,433,101,85,3,false,21,37832.49
34,2019-10-01,344,104,80,9,false,22,38897.12
35,2019-11-01,329,89,52,7,false,18,28430.56
36,2019-12-01,250,50,48,3,false,12,21414.38
37,2020-01-01,399,95,103,15,true,20,38712.5
38,2020-02-01,415,92,89,12,true,20,37539.33
39,2020-03-01,224,54,43,8,true,13,19706.29
40,2020-04-01,146,23,15,0,true,14,9895.06
41,2020-05-01,363,63,69,7,true,18,30371.75
42,2020-06-01,413,98,54,9,true,21,32796.79
43,2020-07-01,447,87,89,14,true,21,38642.72
44,2020-08-01,203,42,43,5,true,11,17986.26
45,2020-09-01,339,66,75,8,true,21,30748.51
46,2020-10-01,341,57,74,14,true,19,30410.51
47,2020-11-01,299,82,68,21,true,19,29919.24
48,2020-12-01,240,57,53,10,true,16,22200.64
49,2021-01-01,337,89,48,16,false,20,30395.66
50,2021-02-01,357,104,67,26,false,20,34032.52
51,2021-03-01,339,123,43,48,false,23,33360.24
52,2021-04-01,306,215,53,31,false,21,36185.58
53,2021-05-01,291,91,76,16,false,18,29948.53
54,2021-06-01,356,107,75,16,false,22,33974.39
55,2021-07-01,300,72,84,13,false,18,30937.64
56,2021-08-01,220,71,33,12,false,12,18182.4
57,2021-09-01,324,99,88,16,false,21,33541.92
58,2021-10-01,325,100,92,15,false,21,34131.01
59,2021-11-01,308,80,75,6,false,19,29179.88
60,2021-12-01,186,59,48,9,false,13,19172.32
61,2022-01-01,307,80,104,6,false,18,31614.57
62,2022-02-01,330,75,65,13,false,19,30808.21
63,2022-03-01,265,96,83,13,false,19,29507.29
64,2022-04-01,383,86,78,12,false,20,33981.7
65,2022-05-01,278,56,55,9,false,17,24505.9
66,2022-06-01,417,53,68,7,false,17,24778.6
67,2022-07-01,301,74,47,7,false,19,25405.1
68,2022-08-01,113,35,18,11,false,7,10630.51
69,2022-09-01,360,100,101,14,false,22,37169.45
70,2022-10-01,317,108,77,14,false,20,31751.0
71,2022-11-01,280,108,59,10,false,20,27516.92
72,2022-12-01,232,71,37,8,false,15,20453.54
73,2023-01-01,296,73,82,7,false,18,28857.46
74,2023-02-01,332,91,73,14,false,19,31106.39
75,2023-03-01,376,117,70,14,false,23,34431.3
76,2023-04-01,314,81,68,10,false,17,28094.74
77,2023-05-01,483,61,49,13,false,13,21987.11
78,2023-06-01,320,79,78,10,false,18,30136.71
79,2023-07-01,343,83,63,9,false,19,29473.3
80,2023-08-01,170,45,12,3,false,8,11321.17
81,2023-09-01,318,105,62,10,false,20,29430.15
82,2023-10-01,200,66,38,12,false,14,20403.79
83,2023-11-01,217,53,39,12,false,14,19029.14
84,2023-12-01,157,59,46,7,false,13,16981.87
